country,year,pixel_count,luminosity,avg_luminosity,avg_luminosity/pixel_count,normalizedviirs,normalizedviirs/pixel
Bosnia and Herzegovina,2015,574425,196845.9835,65615.32783,0.114227841,397753.1806,2.757246379
Bosnia and Herzegovina,2016,574425,186136.7797,62045.59324,0.108013393,394183.446,2.756482461
Bosnia and Herzegovina,2017,574425,379171.5496,126390.5165,0.220029624,458528.3693,2.770252184
Bosnia and Herzegovina,2018,574425,398585.6006,132861.8669,0.231295412,464999.7197,2.771637044
Cambodia,2012,1239984,193559.4345,64519.81149,0.052032777,95719.22893,0.279488323
Cambodia,2013,1239984,136654.0609,45551.35363,0.036735437,76750.77107,0.2754291
Cambodia,2014,1239984,224262.8305,74754.27683,0.060286485,105953.6943,0.281678485
Cambodia,2015,1239984,167281.3079,55760.43595,0.044968674,86959.85339,0.277613829
Cambodia,2016,1239984,96015.11382,32005.03794,0.025810848,63204.45538,0.272530208
Cambodia,2017,1239984,221953.881,73984.62699,0.059665792,105184.0444,0.281513781
Cambodia,2018,1239984,206287.275,68762.42498,0.055454284,99961.84242,0.280396237
Cote d'Ivoire,2012,2156186,485880.632,161960.2107,0.075114211,286785.895,0.485748895
Cote d'Ivoire,2013,2156186,317905.262,105968.4207,0.049146234,230794.105,0.473766731
Cote d'Ivoire,2014,2156186,380034.1226,126678.0409,0.05875098,251503.7252,0.478198561
Cote d'Ivoire,2015,2156186,902714.7009,300904.9003,0.139554241,425730.5846,0.515482863
Cote d'Ivoire,2016,2156186,295893.2898,98631.09661,0.045743316,223456.7809,0.472196554
Cote d'Ivoire,2017,2156186,1045868.404,348622.8012,0.161684939,473448.4856,0.525694426
Cote d'Ivoire,2018,2156186,1205319.913,401773.3044,0.186335179,526598.9887,0.537068559
Congo,2012,20260196,697731.821,232577.2737,0.011479517,163555.991,0.03261399
Congo,2013,20260196,573954.8748,191318.2916,0.009443062,122297.009,0.023784626
Congo,2014,20260196,448342.4947,149447.4982,0.007376409,80426.2156,0.014824335
Congo,2015,20260196,1275342.19,425114.0634,0.020982722,356092.7807,0.073816591
Congo,2016,20260196,398359.6782,132786.5594,0.006554061,63765.27675,0.011258918
Congo,2017,20260196,4255799.701,1418599.9,0.070019061,1349578.618,0.286421159
Congo,2018,20260196,2646550.255,882183.4184,0.043542689,813162.1358,0.171628788
Dominican Republic,2012,478728,150512.921,50170.97366,0.104800583,283271.2484,2.382571497
Dominican Republic,2013,478728,165286.4304,55095.4768,0.115087224,288195.7516,2.383625334
Dominican Republic,2014,478728,244920.3833,81640.12776,0.170535519,314740.4025,2.389305852
Dominican Republic,2015,478728,264505.6739,88168.55796,0.184172553,321268.8327,2.390702926
Dominican Republic,2016,478728,154790.33,51596.77668,0.107778899,284697.0515,2.382876617
Dominican Republic,2017,478728,250682.5702,83560.85675,0.17454767,316661.1315,2.389716885
Dominican Republic,2018,478728,359993.7077,119997.9026,0.250659879,353098.1773,2.397514361
Egypt,2012,6724142,125370.3402,41790.11339,0.006214936,3422534.866,2.031868893
Egypt,2013,6724142,71740.14347,23913.38116,0.003556347,3404658.134,2.028043298
Egypt,2014,6724142,92842.65005,30947.55002,0.004602453,3411692.303,2.0295486
Egypt,2015,6724142,71724.02653,23908.00884,0.003555548,3404652.762,2.028042148
Egypt,2016,6724142,69449.84224,23149.94741,0.003442811,3403894.7,2.027879924
Egypt,2017,6724142,124655.5653,41551.85512,0.006179503,3422296.608,2.031817906
Egypt,2018,6724142,102518.5439,34172.84796,0.005082113,3414917.601,2.030238809
Estonia,2012,591614,7312.174028,2437.391343,0.004119901,472768.8996,3.308033196
Estonia,2013,591614,112189.7767,37396.59224,0.063211135,507728.1004,3.315514416
Estonia,2014,591614,8322.913884,2774.304628,0.004689383,473105.8128,3.308105295
Estonia,2015,591614,17865.23069,5955.076896,0.010065815,476286.5851,3.308785976
Estonia,2016,591614,34469.08523,11489.69508,0.019420932,481821.2033,3.309970376
Estonia,2017,591614,30162.22281,10054.07427,0.016994314,480385.5825,3.309663155
Estonia,2018,591614,10276.42416,3425.474718,0.00579005,473756.9829,3.308244644
Ethiopia,2012,9863970,241737.1269,80579.04229,0.008169028,139038.6627,0.053110701
Ethiopia,2013,9863970,139673.1505,46557.71683,0.004719978,105017.3373,0.045830185
Ethiopia,2014,9863970,272899.5387,90966.51291,0.0092221,149426.1333,0.055333605
Ethiopia,2015,9863970,394003.2834,131334.4278,0.013314561,189794.0482,0.063972282
Ethiopia,2016,9863970,112268.6865,37422.89552,0.003793898,95882.51595,0.043875346
Ethiopia,2017,9863970,1075170.919,358390.3062,0.036333272,416849.9266,0.11256192
Ethiopia,2018,9863970,912360.0413,304120.0138,0.030831401,362579.6342,0.100948154
Gambia,2012,129600,47067.5813,15689.19377,0.121058594,11691.33107,0.406292214
Gambia,2013,129600,56185.59485,18728.53162,0.144510275,14730.66893,0.406942628
Gambia,2014,129600,58317.14854,19439.04951,0.149992666,15441.18682,0.407094678
Gambia,2015,129600,78911.67184,26303.89061,0.202962119,22306.02792,0.408563744
Gambia,2016,129600,49598.2118,16532.73727,0.127567417,12534.87457,0.406472731
Gambia,2017,129600,298789.4842,99596.49474,0.768491472,95598.63205,0.424248258
Gambia,2018,129600,198480.1866,66160.06219,0.510494307,62162.1995,0.417092908
Georgia,2012,961395,167189.2288,55729.74292,0.057967581,246573.7196,1.02782995
Georgia,2013,961395,168486.9112,56162.30374,0.058417512,247006.2804,1.027922517
Georgia,2014,961395,161808.476,53936.15866,0.056101975,244780.1353,1.027446125
Georgia,2015,961395,117267.983,39089.32766,0.040658967,229933.3043,1.024268924
Georgia,2016,961395,121432.3274,40477.44248,0.042102822,231321.4191,1.024565979
Georgia,2017,961395,242625.5765,80875.19217,0.084122751,271719.1688,1.03321104
Georgia,2018,961395,137761.2956,45920.43186,0.047764376,236764.4085,1.025730771
Ghana,2012,1586156,92785.28383,30928.42794,0.019498982,286021.2508,0.72116095
Ghana,2013,1586156,94883.77896,31627.92632,0.019939985,286720.7492,0.721310641
Ghana,2014,1586156,131722.2891,43907.42971,0.027681659,299000.2526,0.723938438
Ghana,2015,1586156,469666.5015,156555.5005,0.0987012,411648.3234,0.748044966
Ghana,2016,1586156,267258.9811,89086.32705,0.056164921,344179.1499,0.733606658
Ghana,2017,1586156,656895.6652,218965.2217,0.138047721,474058.0446,0.761400558
Ghana,2018,1586156,772171.7694,257390.5898,0.162273187,512483.4127,0.769623533
Guinea,2012,2221536,445331.0653,148443.6884,0.066820294,38263.59447,0.051808967
Guinea,2013,2221536,380926.4984,126975.4995,0.057156625,16795.40553,0.047214805
Guinea,2014,2221536,196430.15,65476.71666,0.029473624,-44703.37728,0.034054152
Guinea,2015,2221536,457786.8801,152595.6267,0.068689243,42415.53276,0.052697476
Guinea,2016,2221536,212253.5166,70751.1722,0.031847862,-39428.92175,0.035182879
Guinea,2017,2221536,713337.3672,237779.1224,0.107033657,127599.0285,0.070926624
Guinea,2018,2221536,318426.0897,106142.0299,0.047778668,-4038.064035,0.042756472
Hungary,2012,1076907,422297.2702,140765.7567,0.130713011,1029337.764,3.837726612
Hungary,2013,1076907,460773.6891,153591.2297,0.142622557,1042163.236,3.840471245
Hungary,2014,1076907,219609.0714,73203.02379,0.067975251,961775.0306,3.823268283
Hungary,2015,1076907,438542.0732,146180.6911,0.13574124,1034752.698,3.838885401
Hungary,2016,1076907,420708.7991,140236.2664,0.130221334,1028808.273,3.837613302
Hungary,2017,1076907,382845.5499,127615.1833,0.118501582,1016187.19,3.834912408
Hungary,2018,1076907,262845.853,87615.28434,0.081358264,976187.2911,3.826352486
Kenya,2012,4672928,600116.5891,200038.863,0.042808034,194969.2519,0.155722089
Kenya,2013,4672928,498370.0779,166123.3593,0.035550165,161053.7481,0.148464219
Kenya,2014,4672928,262051.3632,87350.45441,0.018692874,82280.84325,0.131606928
Kenya,2015,4672928,899771.7309,299923.9103,0.064183294,294854.2991,0.177097348
Kenya,2016,4672928,404570.2217,134856.7406,0.028859152,129787.1294,0.141773206
Kenya,2017,4672928,2800804.026,933601.3419,0.19978937,928531.7308,0.312703424
Kenya,2018,4672928,1390593.779,463531.2595,0.099195036,458461.6484,0.21210909
Lao PDR,2012,3686856,285508.0097,95169.33657,0.025813142,106604.7282,0.107855351
Lao PDR,2013,3686856,232562.6404,77520.88015,0.021026284,88956.27179,0.104078607
Lao PDR,2014,3686856,255609.2271,85203.07572,0.023109955,96638.46736,0.105722586
Lao PDR,2015,3686856,234558.8422,78186.28072,0.021206763,89621.67236,0.104221001
Lao PDR,2016,3686856,211910.9338,70636.97793,0.019159137,82072.36957,0.102605461
Lao PDR,2017,3686856,836192.0726,278730.6909,0.075601187,290166.0825,0.147137222
Lao PDR,2018,3686856,435287.0327,145095.6776,0.039354853,156531.0692,0.118539518
Latvia,2012,967860,337787.5352,112595.8451,0.116334847,372428.5011,1.466982819
Latvia,2013,967860,227243.5286,75747.84285,0.078263223,335580.4989,1.459097399
Latvia,2014,967860,84971.57064,28323.85688,0.029264415,288156.5129,1.448948733
Latvia,2015,967860,54715.44579,18238.48193,0.018844132,278071.138,1.446790477
Latvia,2016,967860,57594.89639,19198.2988,0.019835822,279030.9548,1.446995876
Latvia,2017,967860,35030.70212,11676.90071,0.012064659,271509.5567,1.445386308
Latvia,2018,967860,34168.16626,11389.38875,0.011767599,271222.0448,1.44532478
Lithuania,2012,788097,458133.8243,152711.2748,0.193772181,498426.7991,2.52385469
Lithuania,2013,788097,458429.0298,152809.6766,0.193897041,498525.2009,2.523875748
Lithuania,2014,788097,295650.3601,98550.12002,0.125048211,444265.6443,2.512264279
Lithuania,2015,788097,339846.7008,113282.2336,0.143741486,458997.7579,2.51541693
Lithuania,2016,788097,322054.7027,107351.5676,0.136216186,453067.0919,2.514147776
Lithuania,2017,788097,67222.994,22407.66467,0.028432623,368123.189,2.495969901
Lithuania,2018,788097,80657.42793,26885.80931,0.034114848,372601.3336,2.496928218
Moldova,2012,585688,47117.50591,15705.8353,0.026816044,212143.5615,1.422097837
Moldova,2013,585688,26006.13716,8668.712388,0.014800905,205106.4385,1.420591903
Moldova,2014,585688,266652.2465,88884.08217,0.151760122,285321.8083,1.437757879
Moldova,2015,585688,211615.607,70538.53568,0.120437051,266976.2618,1.433831958
Moldova,2016,585688,219630.3337,73210.11122,0.124998483,269647.8374,1.434403671
Moldova,2017,585688,222853.9842,74284.66141,0.126833163,270722.3876,1.434633623
Moldova,2018,585688,288919.5305,96306.51018,0.164433129,292744.2363,1.439346268
Montenegro,2012,180180,80885.18814,26961.72938,0.149637748,82687.33702,1.877872613
Montenegro,2013,180180,96126.16602,32042.05534,0.177833585,87767.66298,1.878959795
Montenegro,2014,180180,86015.56709,28671.8557,0.159128958,84397.46334,1.878238577
Montenegro,2015,180180,92112.28948,30704.09649,0.170407906,86429.70413,1.878673474
Montenegro,2016,180180,95750.60687,31916.86896,0.1771388,87642.4766,1.878933005
Montenegro,2017,180180,134670.8445,44890.2815,0.249141311,100615.8891,1.881709297
Montenegro,2018,180180,119429.0712,39809.69038,0.220944003,95535.29802,1.880622058
Myanmar,2012,9414758,761429.6832,253809.8944,0.026958727,414630.7176,0.172738535
Myanmar,2013,9414758,670807.3773,223602.4591,0.023750208,384423.2824,0.166274186
Myanmar,2014,9414758,233958.8145,77986.27149,0.008283407,238807.0947,0.135112527
Myanmar,2015,9414758,317278.5595,105759.5198,0.011233376,266580.3431,0.141055963
Myanmar,2016,9414758,408264.531,136088.177,0.014454772,296909.0002,0.147546253
Myanmar,2017,9414758,784945.3291,261648.443,0.027791308,422469.2663,0.174415973
Myanmar,2018,9414758,821357.7427,273785.9142,0.029080505,434606.7375,0.177013375
Nepal,2012,1877914,1088924.416,362974.8055,0.19328617,-41438.52733,0.100179033
Nepal,2013,1877914,1679426.58,559808.8601,0.298101436,155395.5273,0.142301243
Nepal,2014,1877914,1339822.454,446607.4847,0.237821053,42194.15189,0.118076308
Nepal,2015,1877914,1105904.263,368634.7544,0.196300126,-35778.57835,0.101390254
Nepal,2016,1877914,1046924.074,348974.6913,0.185831029,-55438.6415,0.097183028
Nepal,2017,1877914,2427504.019,809168.0063,0.430886615,404754.6736,0.195663748
Nepal,2018,1877914,2157910.242,719303.4141,0.383033203,314890.0813,0.176432852
Pakistan,2012,13140344,101996.7536,33998.91788,0.002587369,3263157.044,0.993764535
Pakistan,2013,13140344,151661.4892,50553.82973,0.003847223,3279711.956,0.997307263
Pakistan,2014,13140344,158722.2307,52907.41023,0.004026334,3282065.536,0.997810926
Pakistan,2015,13140344,134268.3249,44756.10829,0.003406007,3273914.234,0.996066559
Pakistan,2016,13140344,165780.9254,55260.30846,0.004205393,3284418.435,0.998314443
Pakistan,2017,13140344,287618.0748,95872.69159,0.007296056,3325030.818,1.007005435
Pakistan,2018,13140344,451123.9517,150374.6506,0.011443738,3379532.777,1.018668778
Philippines,2012,6975544,248920.155,82973.38499,0.011894898,688789.112,0.393266441
Philippines,2013,6975544,222531.4832,74177.16107,0.010633889,679992.888,0.391384062
Philippines,2014,6975544,59990.4095,19996.80317,0.002866702,625812.5301,0.379789541
Philippines,2015,6975544,280332.6224,93444.20745,0.013395974,699259.9344,0.395507182
Philippines,2016,6975544,182978.1967,60992.73222,0.008743796,666808.4592,0.388562612
Philippines,2017,6975544,590639.7516,196879.9172,0.02822431,802695.6442,0.417642278
Philippines,2018,6975544,461030.8752,153676.9584,0.022030821,759492.6854,0.408396906
Poland,2012,3341220,130421.6949,43473.89829,0.013011385,7196044.844,8.590802503
Poland,2013,3341220,102462.6296,34154.20986,0.010222078,7186725.156,8.588808103
Poland,2014,3341220,142975.4997,47658.49991,0.014263802,7200229.446,8.591698002
Poland,2015,3341220,104365.0899,34788.36332,0.010411874,7187359.309,8.588943811
Poland,2016,3341220,163264.9998,54421.66662,0.016287963,7206992.613,8.59314531
Poland,2017,3341220,139094.7742,46364.92473,0.013876645,7198935.871,8.591421179
Poland,2018,3341220,121083.4422,40361.1474,0.012079763,7192932.093,8.590136379
Romania,2012,2458962,623947.0017,207982.3339,0.084581353,2095114.592,3.418113317
Romania,2013,2458962,692574.4488,230858.1496,0.093884391,2117990.408,3.423008709
Romania,2014,2458962,551485.6514,183828.5505,0.074758598,2070960.809,3.412944442
Romania,2015,2458962,606773.8694,202257.9565,0.082253388,2089390.215,3.416888308
Romania,2016,2458962,822306.1335,274102.0445,0.11147063,2161234.303,3.432262842
Romania,2017,2458962,838123.5456,279374.5152,0.113614816,2166506.773,3.433391143
Romania,2018,2458962,988397.5394,329465.8465,0.133985741,2216598.105,3.444110617
Rwanda,2012,184899,42242.0188,14080.67293,0.076153321,16771.30705,0.396319988
Rwanda,2013,184899,52143.1765,17381.05883,0.09400299,20071.69295,0.397026266
Rwanda,2014,184899,42126.52496,14042.17499,0.075945111,16732.8091,0.396311749
Rwanda,2015,184899,87209.48754,29069.82918,0.157220045,31760.4633,0.399527646
Rwanda,2016,184899,21324.35403,7108.11801,0.038443247,9798.752127,0.394827871
Rwanda,2017,184899,120311.2516,40103.75053,0.216895443,42794.38464,0.40188889
Rwanda,2018,184899,106247.1393,35415.7131,0.191540858,38106.34721,0.400885656
Senegal,2012,1515975,156244.0918,52081.36394,0.034355028,102017.1821,0.237087837
Senegal,2013,1515975,77786.99909,25928.9997,0.017103844,75864.81788,0.231491268
Senegal,2014,1515975,133039.3708,44346.45692,0.029252763,94282.27511,0.235432578
Senegal,2015,1515975,60380.1044,20126.70147,0.013276407,70062.51965,0.230249585
Senegal,2016,1515975,59566.35766,19855.45255,0.01309748,69791.27074,0.230191538
Senegal,2017,1515975,203434.1069,67811.36898,0.044731192,117747.1872,0.240454036
Senegal,2018,1515975,129602.1513,43200.71709,0.028496985,93136.53527,0.235187391
Serbia,2012,942057,301146.0712,100382.0237,0.10655621,987432.2753,4.220476633
Serbia,2013,942057,356212.4193,118737.4731,0.126040646,1005787.725,4.224404673
Serbia,2014,942057,332421.7891,110807.263,0.117622674,997857.5146,4.222707619
Serbia,2015,942057,348494.4002,116164.8001,0.123309736,1003215.052,4.223854125
Serbia,2016,942057,419323.8058,139774.6019,0.148371704,1026824.853,4.228906589
Serbia,2017,942057,551700.1433,183900.0478,0.195211169,1070950.299,4.238349372
Serbia,2018,942057,494123.0698,164707.6899,0.174838348,1051757.942,4.234242235
Sweden,2012,10197209,828452.8574,276150.9525,0.027081033,4869420.777,1.90526192
Sweden,2013,10197209,744589.1959,248196.3986,0.02433964,4841466.223,1.899279685
Sweden,2014,10197209,392457.5274,130819.1758,0.01282892,4724089,1.874161125
Sweden,2015,10197209,211036.1214,70345.3738,0.006898493,4663615.198,1.861219816
Sweden,2016,10197209,873941.8461,291313.9487,0.028568008,4884583.773,1.90850678
Sweden,2017,10197209,605318.6656,201772.8885,0.01978707,4795042.713,1.889345119
Sweden,2018,10197209,453742.9449,151247.6483,0.014832259,4744517.473,1.878532789
Tajikistan,2012,1835340,898441.2629,299480.421,0.163174355,242805.2859,0.39977135
Tajikistan,2013,1835340,504695.5476,168231.8492,0.091662498,111556.7141,0.371684341
Tajikistan,2014,1835340,326085.1951,108695.065,0.059223395,52019.92993,0.358943553
Tajikistan,2015,1835340,278275.0095,92758.3365,0.050540138,36083.20142,0.355533116
Tajikistan,2016,1835340,401243.863,133747.9543,0.072873666,77072.81923,0.364304836
Tajikistan,2017,1835340,929961.7993,309987.2664,0.168899096,253312.1313,0.4020198
Tajikistan,2018,1835340,598100.6338,199366.8779,0.108626673,142691.7428,0.378347193
Tanzania,2012,6814110,89713.09555,29904.36518,0.004388594,86926.80406,0.060743004
Tanzania,2013,6814110,247217.2712,82405.75706,0.0120934,139428.1959,0.071978228
Tanzania,2014,6814110,119556.6608,39852.22026,0.005848485,96874.65914,0.062871831
Tanzania,2015,6814110,112676.4557,37558.81857,0.005511918,94581.25745,0.062381047
Tanzania,2016,6814110,171570.9324,57190.31081,0.008392925,114212.7497,0.066582158
Tanzania,2017,6814110,881289.1306,293763.0435,0.043110992,350785.4824,0.117208389
Tanzania,2018,6814110,859902.3129,286634.1043,0.04206479,343656.5432,0.115682806
Togo,2012,563342,137260.0628,45753.35425,0.081217723,38638.95805,0.273835692
Togo,2013,563342,137716.3144,45905.43814,0.08148769,38791.04195,0.273868238
Togo,2014,563342,84197.55661,28065.8522,0.049820273,20951.45601,0.270050592
Togo,2015,563342,75247.05859,25082.35286,0.044524202,17967.95666,0.269412127
Togo,2016,563342,62562.43759,20854.14586,0.037018624,13739.74967,0.268507297
Togo,2017,563342,168118.5602,56039.52007,0.099476908,48925.12387,0.276036917
Togo,2018,563342,199356.6694,66452.22312,0.117960711,59337.82693,0.278265221
Turkmenistan,2012,2823312,76821.38936,25607.12979,0.00906989,675101.9709,0.455305635
Turkmenistan,2013,2823312,213801.5642,71267.18808,0.025242406,720762.0291,0.465076823
Turkmenistan,2014,2823312,55330.47525,18443.49175,0.006532573,667938.3328,0.453772626
Turkmenistan,2015,2823312,59893.62868,19964.54289,0.00707132,669459.384,0.454098129
Turkmenistan,2016,2823312,88782.7632,29594.2544,0.010482106,679089.0955,0.456158874
Turkmenistan,2017,2823312,96854.58759,32284.86253,0.011435103,681779.7036,0.45673466
Turkmenistan,2018,2823312,138661.0397,46220.34656,0.016370967,695715.1876,0.459716834
Uganda,2012,1792137,463841.8056,154613.9352,0.086273502,102580.6629,0.129676348
Uganda,2013,1792137,168640.8283,56213.60943,0.031366804,4180.337112,0.108618817
Uganda,2014,1792137,194244.4165,64748.13885,0.036129012,12714.86653,0.110445194
Uganda,2015,1792137,592857.1338,197619.0446,0.110270054,145585.7723,0.138879381
Uganda,2016,1792137,207202.6687,69067.55625,0.038539217,17034.28393,0.111369544
Uganda,2017,1792137,1039264.585,346421.5284,0.193300807,294388.256,0.170722903
Uganda,2018,1792137,876702.9909,292234.3303,0.163064727,240201.058,0.159126919
Uzbekistan,2012,6352618,531856.9004,177285.6335,0.027907492,1184124.22,0.562142188
Uzbekistan,2013,6352618,406044.5786,135348.1929,0.021305892,1142186.78,0.553167635
Uzbekistan,2014,6352618,153750.3328,51250.11095,0.008067557,1058088.698,0.535170764
Uzbekistan,2015,6352618,68698.25341,22899.4178,0.003604721,1029738.005,0.529103756
Uzbekistan,2016,6352618,86529.80986,28843.26995,0.004540375,1035681.857,0.530375732
Uzbekistan,2017,6352618,220358.8754,73452.95846,0.011562628,1080291.545,0.539922143
Uzbekistan,2018,6352618,278417.2933,92805.76442,0.014609058,1099644.351,0.544063616
Vietnam,2012,6090520,260123.6539,86707.88465,0.014236532,1482873.087,0.974409605
Vietnam,2013,6090520,286280.131,95426.71033,0.015668073,1491591.913,0.976275422
Vietnam,2014,6090520,318412.6902,106137.5634,0.017426683,1502302.766,0.978567529
Vietnam,2015,6090520,409128.1645,136376.0548,0.022391529,1532541.257,0.985038524
Vietnam,2016,6090520,363633.1025,121211.0342,0.01990159,1517376.237,0.98179323
Vietnam,2017,6090520,499524.6181,166508.206,0.027338915,1562673.409,0.991486761
Vietnam,2018,6090520,274428.3353,91476.11178,0.015019426,1487641.314,0.975429999
